matchId,status,homeScore,awayScore,result,source,updatedAt
M001,FINAL,2,0,W,football-data.org,2026-06-12T06:25:16+07:00
M002,FINAL,2,1,W,thesportsdb.com,2026-06-12T10:57:09+07:00
M003,FINAL,1,1,D,football-data.org,2026-06-13T04:13:15+07:00
M004,FINAL,4,1,W,football-data.org,2026-06-13T10:20:55+07:00
M005,FINAL,0,1,L,football-data.org,2026-06-14T10:20:55+07:00
M006,FINAL,2,0,W,football-data.org,2026-06-14T13:04:33+07:00
M007,FINAL,1,1,D,football-data.org,2026-06-14T07:19:59+07:00
M008,FINAL,1,1,D,thesportsdb.com,2026-06-14T10:47:52+07:00
M009,FINAL,1,0,W,thesportsdb.com,2026-06-15T08:21:00+07:00
M010,FINAL,7,1,W,football-data.org,2026-06-15T02:20:55+07:00
M011,FINAL,2,2,D,football-data.org,2026-06-15T05:20:54+07:00
M012,FINAL,5,1,W,football-data.org,2026-06-15T11:20:55+07:00
M013,FINAL,1,1,D,thesportsdb.com,2026-06-16T07:01:27+07:00
M014,FINAL,0,0,D,thesportsdb.com,2026-06-16T01:00:17+07:00
M015,FINAL,2,2,D,football-data.org,2026-06-16T10:21:01+07:00
M016,FINAL,1,1,D,football-data.org,2026-06-16T04:21:03+07:00
M017,FINAL,3,1,W,football-data.org,2026-06-17T04:18:35+07:00
M018,FINAL,1,4,L,football-data.org,2026-06-17T07:20:57+07:00
M019,FINAL,3,0,W,football-data.org,2026-06-17T10:20:54+07:00
M020,FINAL,3,1,W,football-data.org,2026-06-17T13:20:56+07:00
M021,FINAL,1,0,W,football-data.org,2026-06-18T09:20:54+07:00
M022,FINAL,4,2,W,football-data.org,2026-06-18T05:20:55+07:00
M023,FINAL,1,1,D,football-data.org,2026-06-18T02:20:59+07:00
M024,FINAL,1,3,L,football-data.org,2026-06-18T11:20:59+07:00
M025,FINAL,1,1,D,football-data.org,2026-06-19T01:20:59+07:00
M026,FINAL,4,1,W,football-data.org,2026-06-19T04:09:25+07:00
M027,FINAL,6,0,W,football-data.org,2026-06-19T07:20:56+07:00
M028,FINAL,1,0,W,football-data.org,2026-06-19T10:20:56+07:00
M029,FINAL,3,0,W,football-data.org,2026-06-20T10:20:55+07:00
M030,FINAL,0,1,L,football-data.org,2026-06-20T07:20:55+07:00
M031,FINAL,0,1,L,football-data.org,2026-06-20T13:21:14+07:00
M032,FINAL,2,0,W,football-data.org,2026-06-20T04:20:56+07:00
M033,FINAL,2,1,W,football-data.org,2026-06-21T05:20:57+07:00
M034,FINAL,0,0,D,football-data.org,2026-06-21T09:20:54+07:00
M035,FINAL,5,1,W,football-data.org,2026-06-21T02:20:57+07:00
M036,FINAL,0,4,L,football-data.org,2026-06-21T13:17:31+07:00
M037,FINAL,2,2,D,football-data.org,2026-06-22T07:20:56+07:00
M038,FINAL,4,0,W,football-data.org,2026-06-22T13:10:21+07:00
M039,FINAL,0,0,D,football-data.org,2026-06-22T04:20:55+07:00
M040,FINAL,1,3,L,football-data.org,2026-06-22T10:20:56+07:00
M041,FINAL,3,2,W,football-data.org,2026-06-23T09:20:55+07:00
M042,FINAL,3,0,W,football-data.org,2026-06-23T08:20:55+07:00
M043,FINAL,1,2,L,football-data.org,2026-06-23T12:13:58+07:00
M044,FINAL,2,0,W,football-data.org,2026-06-23T11:44:30+07:00
M045,FINAL,0,0,D,football-data.org,2026-06-24T05:20:57+07:00
M046,FINAL,0,1,L,football-data.org,2026-06-24T08:20:55+07:00
M047,FINAL,5,0,W,football-data.org,2026-06-24T02:21:02+07:00
M048,FINAL,1,0,W,football-data.org,2026-06-24T11:20:54+07:00
M049,FINAL,0,3,L,football-data.org,2026-06-25T07:20:55+07:00
M050,FINAL,4,2,W,football-data.org,2026-06-25T07:20:55+07:00
M051,FINAL,2,1,W,football-data.org,2026-06-25T04:20:56+07:00
M052,FINAL,3,1,W,football-data.org,2026-06-25T04:20:56+07:00
M053,FINAL,0,3,L,football-data.org,2026-06-25T10:20:58+07:00
M054,FINAL,1,0,W,football-data.org,2026-06-25T10:20:58+07:00
M055,FINAL,0,2,L,football-data.org,2026-06-26T05:20:56+07:00
M056,FINAL,2,1,W,football-data.org,2026-06-26T05:20:56+07:00
M057,PENDING,,,,,
M058,PENDING,,,,,
M059,PENDING,,,,,
M060,PENDING,,,,,
M061,PENDING,,,,,
M062,PENDING,,,,,
M063,PENDING,,,,,
M064,PENDING,,,,,
M065,PENDING,,,,,
M066,PENDING,,,,,
M067,PENDING,,,,,
M068,PENDING,,,,,
M069,PENDING,,,,,
M070,PENDING,,,,,
M071,PENDING,,,,,
M072,PENDING,,,,,
